name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
YANGLIN SOYBEAN INC,YSYB,1368745,98474Q103 92643M101,OTC,True,Domestic Common Stock,Consumer Defensive,Farm Products,2070,Manufacturing,Fats & Oils,,Food Products,USD,China,5a88f55897a88d56c0a1bd8095ae9dc2
NZCH CORP,ZPCM,1083243,989063102 62954C109,OTC,True,Domestic Common Stock,Communication Services,Advertising Agencies,7310,Services,Services-Advertising,,Business Services,USD,New York; U.S.A,b12b6229c9ffa2a1d9d05d6652b86a6b
ZYTO CORP,ZYTO,1406796,989872106,OTC,True,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,Utah; U.S.A,5012fac8eaf50d333285c6296cf3970f
STANLEY BLACK & DECKER INC,BKDKP,93556,854502853,OTC,True,Domestic Preferred Stock,Industrials,Tools & Accessories,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,Connecticut; U.S.A,afa8d1728b0de29c77c060acf3b671e0
BATTLE MOUNTAIN GOLD INC,BMTNF,1038621,557808102 55744F101 07159Y109,OTC,True,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,ba1a70c55df802f1a1af52af0b030a8d
BURNS PHILP & CO LTD,BPHCY,929716,122393309,OTC,True,ADR Common Stock,Consumer Defensive,Packaged Foods,2090,Manufacturing,Miscellaneous Food Preparations & Kindred Products,,Food Products,USD,Australia,11abda105514ca6848d43b7e17c87dfe
GOLDEN GOLIATH RESOURCES LTD,GGTHF,1127307,381059104,OTC,True,ADR Common Stock,Energy,Oil & Gas Equipment & Services,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,British Columbia; Canada,138fd8ecc1a150195e5f280a4386357e
LUCKIN COFFEE INC,LKNCY,1767582,54951L109,OTC,False,ADR Common Stock,Consumer Cyclical,Restaurants,5810,Retail Trade,Retail-Eating & Drinking Places,,Restaraunts Hotels Motels,USD,China,b1989cf74e95f9eabdff2b9445e0fddf
RICOH CO LTD,RICOY,317891,765658307,OTC,True,ADR Common Stock,Technology,Computer Hardware,3861,Manufacturing,Photographic Equipment & Supplies,,Consumer Goods,USD,Japan,b35c11adbccbbdc49d731278658c260f
RESPONSE BIOMEDICAL CORP,RPBIF,806888,76123L303 76123L105 76123L204,OTC,True,Domestic Common Stock,Healthcare,Diagnostics & Research,8734,Services,Services-Testing Laboratories,,Business Services,USD,British Columbia; Canada,6c42b8baaddfc49eaa08dc1025bd5aec
VISCOUNT SYSTEMS INC,VSYS,1158387,92829M107,OTC,True,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,British Columbia; Canada,94f4739e1331d886307315a2f6a175b4
GRAYSCALE ETHEREUM TRUST (ETH),ETHE,1725210,389638107,OTC,False,CEF,,,,,,,,USD,New York; U.S.A,20353b5894be9e6304d82ddae51ba233
